county,reporting_date,year,month,ipc_phase,ipc_class,class_name,share_crisis_plus,mean_phase,classified_share,spi1_recent,spi3_recent,spi6_recent,spi3_prior,vci_recent,vci_prior1,vci_prior2,vci_trend,season,mean_annual_rain_mm,previous_class,months_since_previous,lead_months,split,is_study_county
Kisumu,2023-02-01,2023,2,1,1,Minimal,0.0,1.0,0.7829061444141889,-2.011799765582256,1.30430000463393,1.91406069140064,1.1414700573234966,64.02219154419386,74.29765927452115,20.44859677718783,43.57359476700603,dry_jf,650.4965825795291,1.0,4.0,1,test,False
Kitui,2023-02-01,2023,2,3,3,Crisis or worse,0.9985514478087336,2.9979990090340243,0.9999780097898878,-0.3770663516218888,-0.5216282573935825,-0.7026687410821143,-0.5188153055603211,33.169936432911335,32.68745765358534,12.441626832062676,20.72830960084866,dry_jf,350.0498777837523,3.0,4.0,1,test,False
Kwale,2023-02-01,2023,2,2,2,Stressed,0.0,1.99971200940671,0.9912639533016686,-0.1247168734447626,-0.1335666594980091,-0.3602595412253668,-0.1493198399993476,9.76098423426744,10.081903383419386,2.977415869177956,6.783568365089484,dry_jf,461.4118591660762,2.0,4.0,1,test,False
Laikipia,2023-02-01,2023,2,2,2,Stressed,0.0024785928332754,2.001460044992302,1.0000404629806947,-0.1862315382215912,0.0735891186921678,0.0020755591528222,0.046240996390967,8.071004804648295,19.783472308765145,-16.03766720089719,24.108672005545486,dry_jf,378.6133408439104,2.0,4.0,1,test,False
Lamu,2023-02-01,2023,2,2,2,Stressed,0.0078360899683419,2.007836089968342,0.9773409282733216,-0.0497986337374773,-0.5111155243230975,-1.2965520552347307,-0.6280817866013099,49.35454639025857,43.541743905956366,35.80948437620024,13.545062014058331,dry_jf,394.8891092289726,2.0,4.0,1,test,False
Machakos,2023-02-01,2023,2,1,1,Minimal,0.0014924574711276,1.0062477897631077,0.999932162326378,-0.2605750141581431,-0.4239499253669874,-0.6519624244685372,-0.0932867802073963,27.642161300710367,48.532212315549394,7.941559985414941,19.700601315295426,dry_jf,347.0698296320569,1.0,4.0,1,test,False
Makueni,2023-02-01,2023,2,3,3,Crisis or worse,0.7112391302820438,2.6588640302520616,0.9999854756700132,-0.6633204796508959,-0.8335379658952332,-0.9397632153140894,-0.5504018847604875,41.97391114038489,64.78751814128302,23.32831083711355,18.645600303271344,dry_jf,210.84898907247097,3.0,4.0,1,test,False
Mandera,2023-02-01,2023,2,3,3,Crisis or worse,1.0,3.0,0.993482948642904,1.2110610712471852,-0.6369872935737081,-0.3832343228238162,-0.3059848638827184,3.7214704762903703,-1.1487428582695425,0.9613736632062662,2.760096813084104,dry_jf,147.72597818452132,3.0,4.0,1,test,False
Marsabit,2023-02-01,2023,2,3,3,Crisis or worse,1.0,3.0,0.9337767803562236,-0.7475675431391064,-0.6926963070776349,-0.5515295131762724,-0.449030525850574,1.464786696605734,-1.6115628015885826,-7.902085714050865,9.3668724106566,dry_jf,183.11284628508548,3.0,4.0,1,test,True
Meru,2023-02-01,2023,2,1,1,Minimal,0.0045988689466513,1.493941042089677,0.999903618041161,-0.1947519103311483,0.0938172872032455,-0.4632256949453029,-0.5551654832255918,38.50328870185207,48.05763011075441,4.332668136330568,34.1706205655215,dry_jf,469.95952152110806,1.0,4.0,1,test,False
Migori,2023-02-01,2023,2,1,1,Minimal,0.0,1.0,0.8093394361863654,-1.4476571612560003,0.7595235155582155,1.1865937863252385,0.6327893819953478,55.40256471752118,66.83716618340972,30.54877004636017,24.853794671161012,dry_jf,460.4970135975702,1.0,4.0,1,test,False
Mombasa,2023-02-01,2023,2,1,1,Minimal,0.0,1.024159169166952,0.9454988271665984,-0.0605809392709122,-0.2915776454281164,-0.7498495211408247,-0.7391121592582123,21.055832406191783,19.06343015470516,21.16780338762329,-0.11197098143150797,dry_jf,339.4545465241538,1.0,4.0,1,test,False
Murang'a,2023-02-01,2023,2,1,1,Minimal,0.0,1.0,0.9998960447776896,-0.0576458570565428,0.3441188472275587,-0.2171684077820327,0.2710710657576205,68.0603429495113,90.63524208795542,15.071119157982835,52.98922379152846,dry_jf,600.9606534616394,1.0,4.0,1,test,False
Nairobi,2023-02-01,2023,2,1,1,Minimal,0.0,1.0004033639580097,0.9993429939949854,-0.4031941952670002,-0.4781792234220581,-0.7218375121328201,0.0527279220049324,15.448545796408078,19.42678076935587,-21.386704492429597,36.83525028883768,dry_jf,349.07589029272395,1.0,4.0,1,test,False
Nakuru,2023-02-01,2023,2,1,1,Minimal,0.0,1.002054489930805,0.9758551681458985,-0.7618604634974044,0.7202777012331399,1.1254000268549047,2.117458370296248,24.364545756480595,41.68191616468119,22.841098386002265,1.5234473704783298,dry_jf,337.82261196850334,1.0,4.0,1,test,False
Nandi,2023-02-01,2023,2,1,1,Minimal,0.0,1.0,0.9998151603533764,-2.3689299006283253,1.541969432376701,2.907584312377506,1.8643147260786024,70.25464484083714,76.10027389058737,22.264340864952096,47.99030397588505,dry_jf,636.3375639959971,1.0,4.0,1,test,False
Narok,2023-02-01,2023,2,2,2,Stressed,0.0,1.5198887031932586,0.992665047219088,-1.3507146639166483,0.5544398439254457,1.0429479022932415,1.7126645685855424,46.62052517639436,48.14347581891538,8.913204244102147,37.70732093229221,dry_jf,449.4351533314782,1.0,4.0,1,test,False
Nyamira,2023-02-01,2023,2,1,1,Minimal,0.0,1.0,0.999826225293629,-1.925146680780052,1.658486132102201,2.236112193593594,1.5103520799586605,79.90961971275021,88.75374880749467,34.22138581148401,45.6882339012662,dry_jf,707.0676224501927,1.0,4.0,1,test,False
Nyandarua,2023-02-01,2023,2,1,1,Minimal,0.0,1.0051678580196777,0.9999166595581316,-0.3059147361593498,0.4257130112402941,0.2583494300460992,0.8952282859744379,52.9395391072818,77.21607532087926,42.78488342133696,10.154655685944846,dry_jf,478.59632261521887,1.0,4.0,1,test,False
Nyeri,2023-02-01,2023,2,2,2,Stressed,0.0,1.5479244481678864,0.9998906213099176,0.0272400290939383,0.480687623768299,-0.021605666120853,0.1671015313949002,52.49787022391756,44.6935582973397,-18.89703880863981,71.39490903255736,dry_jf,596.5685209899478,2.0,4.0,1,test,False
Samburu,2023-02-01,2023,2,3,3,Crisis or worse,0.8831169733268573,2.883116973326857,0.9999103505205332,-0.288612927617848,-0.3935272619802385,-0.6387749595826535,-0.8197814598520057,10.874625499495924,13.23234573085965,-8.922549126824395,19.79717462632032,dry_jf,233.37064745956647,3.0,4.0,1,test,True
Siaya,2023-02-01,2023,2,1,1,Minimal,0.0,1.0,0.7130635075059107,-1.5300148446784103,0.9403475370093952,1.1251481060875652,0.5458336125722612,54.055946173784335,59.3118527182781,32.11963573234489,21.936310441439446,dry_jf,703.9110029852106,1.0,4.0,1,test,False
