county,year,month,ndvi,n_composites,date
Bomet,2013,6,0.6981013674614307,4,2013-06-01
Bomet,2013,7,0.6719846072931276,4,2013-07-01
Bomet,2013,8,0.6497168653576438,4,2013-08-01
Bomet,2013,9,0.6560191795231417,4,2013-09-01
Bomet,2013,10,0.6620984572230015,3,2013-10-01
Bomet,2013,11,0.644213849929874,4,2013-11-01
Bomet,2013,12,0.6944817671809258,4,2013-12-01
Bomet,2014,1,0.7284516129032261,4,2014-01-01
Bomet,2014,2,0.6949552244039273,4,2014-02-01
Bomet,2014,3,0.7167967040673214,4,2014-03-01
Bomet,2014,4,0.7153177185600752,3,2014-04-01
Bomet,2014,5,0.671548983169705,4,2014-05-01
Bomet,2014,6,0.6820198106591867,4,2014-06-01
Bomet,2014,7,0.6710862201963534,4,2014-07-01
Bomet,2014,8,0.6621894460028049,4,2014-08-01
Bomet,2014,9,0.6981002454417948,4,2014-09-01
Bomet,2014,10,0.6766299205236092,3,2014-10-01
Bomet,2014,11,0.6352313464235625,4,2014-11-01
Bomet,2014,12,0.7236832047685836,4,2014-12-01
Bomet,2015,1,0.6907945301542777,4,2015-01-01
Bomet,2015,2,0.6157595021037869,4,2015-02-01
Bomet,2015,3,0.5527641304347823,4,2015-03-01
Bomet,2015,4,0.6564533426834966,3,2015-04-01
Bomet,2015,5,0.7224590462833096,4,2015-05-01
Bomet,2015,6,0.7321562412342218,4,2015-06-01
Bomet,2015,7,0.7156154277699857,4,2015-07-01
Bomet,2015,8,0.7104681977559608,4,2015-08-01
Bomet,2015,9,0.6816343267882188,4,2015-09-01
Bomet,2015,10,0.5248010285179988,3,2015-10-01
Bomet,2015,11,0.6598133590462831,4,2015-11-01
Bomet,2015,12,0.7650452314165495,4,2015-12-01
Bomet,2016,1,0.7521276297335202,4,2016-01-01
Bomet,2016,2,0.750398352033661,4,2016-02-01
Bomet,2016,3,0.6902052244039272,4,2016-03-01
Bomet,2016,4,0.7140002805049089,4,2016-04-01
Bomet,2016,5,0.7549539036933144,3,2016-05-01
Bomet,2016,6,0.7481019635343615,4,2016-06-01
Bomet,2016,7,0.7168686886395512,4,2016-07-01
Bomet,2016,8,0.6833815918653576,4,2016-08-01
Bomet,2016,9,0.5923219495091161,4,2016-09-01
Bomet,2016,10,0.6854545582047687,4,2016-10-01
Bomet,2016,11,0.6349914913510989,3,2016-11-01
Bomet,2016,12,0.6764397265077136,4,2016-12-01
Bomet,2017,1,0.624201157082749,4,2017-01-01
Bomet,2017,2,0.6433247194950913,4,2017-02-01
