date,year,month,county,rainfall_mm
2003-08-01,2003,8,Baringo,92.32213161175068
2003-09-01,2003,9,Baringo,18.26882920387464
2003-10-01,2003,10,Baringo,21.845399826077315
2003-11-01,2003,11,Baringo,19.899847552715205
2003-12-01,2003,12,Baringo,18.727052629910983
2004-01-01,2004,1,Baringo,28.729724111312475
2004-02-01,2004,2,Baringo,7.935844299426446
2004-03-01,2004,3,Baringo,31.532126773932042
2004-04-01,2004,4,Baringo,90.31743201231345
2004-05-01,2004,5,Baringo,43.10265592183822
2004-06-01,2004,6,Baringo,27.102326618096768
2004-07-01,2004,7,Baringo,38.520129898266916
2004-08-01,2004,8,Baringo,47.65859329028007
2004-09-01,2004,9,Baringo,24.1108262355511
2004-10-01,2004,10,Baringo,26.031670704254736
2004-11-01,2004,11,Baringo,40.61856799798134
2004-12-01,2004,12,Baringo,24.00372760234735
2005-01-01,2005,1,Baringo,14.718451520724175
2005-02-01,2005,2,Baringo,10.782084067662558
2005-03-01,2005,3,Baringo,32.96606424771822
2005-04-01,2005,4,Baringo,41.95791826003637
2005-05-01,2005,5,Baringo,96.13102393517127
2005-06-01,2005,6,Baringo,37.73170678065373
2005-07-01,2005,7,Baringo,53.19838074415158
2005-08-01,2005,8,Baringo,43.567040399404675
2005-09-01,2005,9,Baringo,41.75135079163771
2005-10-01,2005,10,Baringo,21.525114560815005
2005-11-01,2005,11,Baringo,14.462467060944974
2005-12-01,2005,12,Baringo,11.172766839540921
2006-01-01,2006,1,Baringo,7.891486568939992
2006-02-01,2006,2,Baringo,10.078248926309438
2006-03-01,2006,3,Baringo,39.82112728021084
2006-04-01,2006,4,Baringo,58.91868724822998
2006-05-01,2006,5,Baringo,42.94941531939384
2006-06-01,2006,6,Baringo,33.86663393607506
2006-07-01,2006,7,Baringo,39.838268319154395
2006-08-01,2006,8,Baringo,67.34519166212816
2006-09-01,2006,9,Baringo,19.298446894914676
2006-10-01,2006,10,Baringo,29.91303837192364
2006-11-01,2006,11,Baringo,77.22934162677863
2006-12-01,2006,12,Baringo,47.62098205762032
2007-01-01,2007,1,Baringo,21.803441048891116
2007-02-01,2007,2,Baringo,34.39919562217517
2007-03-01,2007,3,Baringo,21.810646120707194
2007-04-01,2007,4,Baringo,57.10534019470215
2007-05-01,2007,5,Baringo,64.85495777130127
2007-06-01,2007,6,Baringo,70.69673189994616
2007-07-01,2007,7,Baringo,75.5974715990898
2007-08-01,2007,8,Baringo,76.77748733911758
2007-09-01,2007,9,Baringo,69.2882254624978
2007-10-01,2007,10,Baringo,22.13521511172637
2007-11-01,2007,11,Baringo,16.44409060692176
2007-12-01,2007,12,Baringo,9.411390420718071
2008-01-01,2008,1,Baringo,8.262172032625248
2008-02-01,2008,2,Baringo,7.451448211914454
2008-03-01,2008,3,Baringo,47.02672910445776
2008-04-01,2008,4,Baringo,23.904310409839336
2008-05-01,2008,5,Baringo,24.429770024617515
2008-06-01,2008,6,Baringo,24.3428580333025
2008-07-01,2008,7,Baringo,52.767617778289015
2008-08-01,2008,8,Baringo,44.731028160682094
2008-09-01,2008,9,Baringo,32.355488248971795
2008-10-01,2008,10,Baringo,57.851593035001024
2008-11-01,2008,11,Baringo,48.40102972923181
2008-12-01,2008,12,Baringo,7.129869354076875
2009-01-01,2009,1,Baringo,7.524931742594792
2009-02-01,2009,2,Baringo,2.338683414306396
2009-03-01,2009,3,Baringo,12.046286003406232
2009-04-01,2009,4,Baringo,41.465570836189464
2009-05-01,2009,5,Baringo,70.3200316013434
2009-06-01,2009,6,Baringo,19.628540246914593
2009-07-01,2009,7,Baringo,26.833725882799197
2009-08-01,2009,8,Baringo,22.323239866892497
2009-09-01,2009,9,Baringo,14.456855487823486
2009-10-01,2009,10,Baringo,29.36229496567677
2009-11-01,2009,11,Baringo,24.67183441748986
2009-12-01,2009,12,Baringo,69.68716289324638
2010-01-01,2010,1,Baringo,18.556799680758747
2010-02-01,2010,2,Baringo,54.751522416334886
2010-03-01,2010,3,Baringo,72.28197374588405
2010-04-01,2010,4,Baringo,58.96033447950314
2010-05-01,2010,5,Baringo,85.78007317567483
2010-06-01,2010,6,Baringo,33.35561268635285
2010-07-01,2010,7,Baringo,58.171101751082986
2010-08-01,2010,8,Baringo,64.41231177403377
2010-09-01,2010,9,Baringo,30.22057037108984
2010-10-01,2010,10,Baringo,31.763130353352963
2010-11-01,2010,11,Baringo,14.418529237845005
2010-12-01,2010,12,Baringo,11.529024484830025
2011-01-01,2011,1,Baringo,4.612306943306556
2011-02-01,2011,2,Baringo,5.42685647377601
