date,year,month,county,rainfall_mm,clim_mean,clim_sd,rain_anom,rain_3m_mm,rain_anom_3m
1983-11-01,1983,11,Marsabit,11.87584851234296,26.251281912796717,18.121614955305276,-0.7932755130218243,22.917253793677943,-0.8322699224476878
1983-12-01,1983,12,Marsabit,8.57019708471375,17.5191038726857,14.35324411564074,-0.6234762480086521,29.627886814830227,-0.8931085508863877
1984-01-01,1984,1,Marsabit,2.8362166078438302,7.412837777982669,6.03866144059599,-0.7578866964409825,23.282262204900537,-0.9282879785797379
1984-02-01,1984,2,Marsabit,3.7966424140536006,6.706810904678786,5.673996073827667,-0.5128957533208145,15.20305610661118,-0.8434120687318375
1984-03-01,1984,3,Marsabit,6.375482213538222,23.203591365325146,12.97433259152085,-1.2970308131907027,13.008341235435653,-1.4136823117707609
1984-04-01,1984,4,Marsabit,37.28166214781979,54.51946926993243,25.650771164570358,-0.6720190598371575,47.45378677541161,-1.0831095229744452
1984-05-01,1984,5,Marsabit,7.448079483732838,16.710665811542984,9.393937122555583,-0.9860174926623629,51.10522384509085,-1.2531572109300095
1984-06-01,1984,6,Marsabit,1.4868257474367128,2.5968931762705103,1.2664059323482955,-0.8765494542302091,46.21656737898934,-0.9960100129576175
1984-07-01,1984,7,Marsabit,2.909738572254149,4.124076502813582,1.7701647547629409,-0.6860027730707229,11.8446438034237,-1.1819358948720775
1984-08-01,1984,8,Marsabit,1.989223855546601,2.753108869421634,0.8660859968998192,-0.8819967262019962,6.3857881752374634,-1.0201667482074708
1984-09-01,1984,9,Marsabit,2.6197715135134283,1.4370297863708184,0.42150869473642155,2.805972313055615,7.518733941314178,-0.3309829004982096
1984-10-01,1984,10,Marsabit,16.681509432911735,19.877977035264493,12.924539996488503,-0.2473177074945192,21.290504801971764,-0.2101982385435665
1984-11-01,1984,11,Marsabit,39.15389199503254,26.251281912796717,18.121614955305276,0.7120011165703782,58.455172941457704,0.36766108029403705
1984-12-01,1984,12,Marsabit,13.799685832964157,17.5191038726857,14.35324411564074,-0.2591343120590064,69.63508726090843,0.15716402052631157
1985-01-01,1985,1,Marsabit,7.840827242241388,7.412837777982669,6.03866144059599,0.07087488981936997,60.794405070238085,0.2724707222068417
1985-02-01,1985,2,Marsabit,7.240444986363093,6.706810904678786,5.673996073827667,0.09404907489199547,28.880958061568638,-0.16602614967365653
1985-03-01,1985,3,Marsabit,34.899558286962495,23.203591365325146,12.97433259152085,0.9014696393154779,49.98083051556698,0.7359196471103586
1985-04-01,1985,4,Marsabit,83.23547668281844,54.51946926993243,25.650771164570358,1.119498795129772,125.37547995614403,1.1993854590609765
1985-05-01,1985,5,Marsabit,21.183677016299573,16.710665811542984,9.393937122555583,0.4761593724122909,139.31871198608053,1.2981741789714734
1985-06-01,1985,6,Marsabit,2.013126058593218,2.5968931762705103,1.2664059323482955,-0.460963663203009,106.43227975771123,1.176190325528144
1985-07-01,1985,7,Marsabit,3.4798531897789022,4.124076502813582,1.7701647547629409,-0.3639340978297549,26.676656264671692,0.3310096905208541
1985-08-01,1985,8,Marsabit,2.1800489166907195,2.753108869421634,0.8660859968998192,-0.6616663411972941,7.67302816506284,-0.5949478484726497
1985-09-01,1985,9,Marsabit,1.2912412911003674,1.4370297863708184,0.42150869473642155,-0.3458730438801875,6.9511433975699894,-0.5671453143681038
1985-10-01,1985,10,Marsabit,13.744949051618027,19.877977035264493,12.924539996488503,-0.4745258233803881,17.216239259409114,-0.5185220011593864
1985-11-01,1985,11,Marsabit,13.590668212505214,26.251281912796717,18.121614955305276,-0.6986470980383008,28.62685855522361,-0.6394862161679001
1985-12-01,1985,12,Marsabit,7.463221618310729,17.5191038726857,14.35324411564074,-0.7005999600757205,34.79883888243397,-0.7573602589754407
